MODE_OF_TRANSPORTATION,WEATHER,GEOPOLITICAL_RISKS,ROUTE_OPTIMIZATION,NO_OF_DELIVERED,CUSTUMER_RATING,EFFICIENCY,EFFICIENT,BEST OR NOT
2,3,1,9,82,8,311.15,1,1
2,2,1,1,92,6,309.02,1,0
3,4,1,4,89,1,294.25,1,0
3,2,1,5,52,2,187.09,1,0
2,2,0,8,62,9,247.86,1,1
2,3,1,8,66,3,241.91,1,1
1,1,1,5,87,1,285.98,1,0
3,2,0,2,56,4,194.83,1,0
2,1,1,6,58,3,209.69,1,0
1,1,1,1,89,8,305,1,0
3,3,1,2,65,3,221.88,1,0
2,4,1,5,18,8,106.8,1,0
2,1,1,1,89,6,298.95,1,0
2,4,1,4,54,9,216.08,1,0
1,1,0,10,39,8,178.74,1,0
2,4,1,8,79,3,282.18,1,1
1,1,0,5,72,7,259.72,1,0
3,2,0,4,46,2,163.51,1,0
2,2,1,1,37,1,125.02,1,0
3,1,1,2,85,2,276.68,1,0
1,4,0,1,30,8,127.41,1,0
2,4,0,7,78,4,277.28,1,1
3,3,1,2,23,3,95.04,1,0
1,4,0,2,100,9,345.41,1,0
2,2,1,3,29,10,139.12,1,0
3,3,0,1,86,5,287,1,0
1,3,1,7,35,2,140.58,1,0
1,2,1,7,83,1,280.95,1,1
1,4,1,7,87,9,323.69,1,1
2,3,0,9,67,5,252.67,1,1
1,4,1,3,81,4,275.59,1,0
2,1,1,10,4,5,65.85,0,0
3,4,1,7,51,4,199.29,1,0
1,4,1,7,28,1,116.87,1,0
3,1,0,2,73,9,263.06,1,0
3,2,0,10,9,9,94.95,1,0
3,2,1,7,62,2,223.33,1,1
1,4,0,9,80,8,302.57,1,1
1,1,0,3,55,8,205.92,1,0
3,2,0,10,42,4,176.71,1,0
2,3,1,3,39,5,152.43,1,0
1,2,0,8,64,9,252.79,1,1
3,4,0,5,24,6,116.43,1,0
1,4,1,5,56,7,216.87,1,0
2,3,0,9,40,5,171.13,1,0
3,1,1,5,91,8,325.34,1,0
1,4,1,4,22,10,121.91,1,0
2,1,1,2,19,8,97.73,1,0
3,2,0,8,24,3,112.73,1,0
2,1,1,6,12,5,77.93,1,0
1,4,0,7,85,7,308.05,1,1
3,4,1,2,58,10,226.81,1,0
2,4,0,4,73,8,267.44,1,0
2,4,1,3,97,2,317.86,1,0
3,2,1,9,57,2,214.27,1,0
2,4,1,2,26,5,111.16,1,0
3,3,0,7,66,7,251.88,1,1
2,1,0,6,1,9,56.59,0,0
2,1,1,5,50,9,203.99,1,0
3,4,0,10,44,7,195.51,1,0
1,3,0,10,81,10,314.76,1,1
1,2,1,9,69,2,248.29,1,1
3,1,1,1,88,1,279.14,1,0
1,1,1,5,82,6,288.78,1,0
2,1,1,6,86,6,304.99,1,0
1,1,0,9,41,9,185.34,1,0
3,3,0,4,58,9,225.82,1,0
2,1,0,4,60,5,214.41,1,0
3,2,0,8,83,6,301.65,1,1
3,3,1,2,25,9,122.56,1,0
3,2,1,9,54,1,201.63,1,0
2,4,0,10,3,6,67,0,0
1,1,0,2,26,8,115.32,1,0
2,4,0,3,9,2,49.66,0,0
1,2,0,3,78,1,251.33,1,0
2,4,1,9,51,6,211.38,1,0
3,1,0,4,56,8,214.18,1,0
1,1,1,10,68,9,272.34,1,1
2,1,1,2,24,3,94.93,1,0
2,2,0,6,39,9,172.36,1,0
2,4,1,3,32,8,143.04,1,0
2,2,1,2,69,7,246.16,1,0
1,4,1,8,46,4,184.99,1,0
3,3,1,2,5,1,33.52,0,0
3,1,1,9,41,8,186.42,1,0
2,1,1,1,91,5,301.41,1,0
1,4,1,10,94,8,350.31,1,1
1,3,1,4,57,10,226.6,1,0
3,4,1,8,96,1,327.47,1,1
2,4,1,4,59,3,209.7,1,0
3,4,0,10,35,4,157.59,1,0
3,1,0,7,64,2,225.92,1,1
2,1,1,6,65,2,227.25,1,0
3,3,0,2,70,9,256.02,1,0
2,1,0,6,2,5,45.29,0,0
1,1,1,9,53,4,206.12,1,0
3,3,0,4,21,3,92.6,1,0
3,4,1,8,6,10,87.89,1,0
2,4,0,9,82,2,288.24,1,1
3,2,0,5,17,1,75.37,1,0
2,2,0,8,17,8,108.38,1,0
2,2,1,3,70,7,252.2,1,0
1,3,1,4,51,9,204.9,1,0
3,2,0,8,63,4,234.09,1,1
1,4,0,2,43,1,144.63,1,0
1,1,0,4,41,10,173.82,1,0
2,4,1,4,4,8,61.5,0,0
2,2,0,10,94,3,329.06,1,1
1,4,0,4,60,5,216.33,1,0
2,2,0,9,74,9,287.12,1,1
2,4,0,5,97,8,342.94,1,0
1,3,0,3,33,9,145.08,1,0
3,1,0,10,84,2,295.38,1,1
1,1,0,5,83,5,285.78,1,0
1,2,1,6,12,9,92.15,1,0
1,3,1,7,89,6,317.98,1,1
2,4,1,4,21,9,116.42,1,0
2,2,0,1,49,3,165.98,1,0
1,1,0,5,2,8,51.9,0,0
3,2,0,7,25,9,134.21,1,0
3,1,1,6,100,8,355.54,1,0
1,2,1,6,100,4,340.01,1,0
2,3,1,6,22,10,128.05,1,0
3,4,1,7,64,10,260.03,1,1
2,1,1,6,67,3,236.87,1,0
2,1,0,4,3,8,53.01,0,0
3,3,0,2,84,8,294.72,1,0
1,3,0,5,63,7,234.56,1,0
2,3,0,2,88,5,294.95,1,0
3,1,0,6,86,3,292.92,1,0
3,2,0,9,69,2,248.07,1,1
1,1,1,3,60,2,201.98,1,0
3,3,0,6,74,2,255.12,1,0
1,1,0,3,38,5,143.84,1,0
2,2,0,5,81,5,281.86,1,0
2,1,1,2,95,8,327.25,1,0
1,1,1,2,73,4,245.38,1,0
2,1,1,1,14,6,72.45,1,0
3,1,1,6,74,1,251.96,1,0
1,1,1,6,19,6,101.54,1,0
2,1,1,5,87,6,304.99,1,0
2,4,0,8,99,2,336.56,1,1
3,2,0,4,48,5,180.29,1,0
3,4,1,4,98,2,325.01,1,0
3,3,0,9,53,8,222.24,1,0
1,2,0,4,30,7,130.87,1,0
3,1,0,10,58,10,245.5,1,0
1,3,1,2,75,1,242.7,1,0
1,2,0,9,32,5,144.85,1,0
1,4,0,3,59,9,224.61,1,0
1,4,1,7,65,8,253.67,1,1
2,3,1,7,58,6,225.47,1,0
1,4,1,1,24,10,118.89,1,0
3,2,0,2,23,6,102.33,1,0
3,1,0,10,50,9,217.76,1,0
2,1,1,3,69,5,241.01,1,0
2,1,0,1,46,3,155.91,1,0
3,3,1,6,19,6,105.78,1,0
1,1,0,8,42,4,167.44,1,0
2,3,0,7,34,7,154.13,1,0
2,2,0,4,23,1,89.36,1,0
3,4,0,8,47,1,177.05,1,0
3,4,0,3,98,4,326.71,1,0
2,1,0,1,10,9,68.67,0,0
1,4,0,4,28,10,137.59,1,0
2,4,0,10,71,7,275.94,1,1
3,4,0,10,48,2,189.69,1,0
3,4,0,1,39,4,142.49,1,0
1,3,0,9,1,1,37.92,0,0
2,3,0,2,10,6,62.97,0,0
1,4,1,2,60,4,209.15,1,0
3,3,0,2,36,9,153.34,1,0
3,3,0,10,54,3,210.38,1,0
1,3,1,5,78,9,289.46,1,0
3,4,1,1,44,10,181.51,1,0
1,3,1,3,94,10,335.32,1,0
3,4,0,2,63,9,235.89,1,0
3,3,1,7,65,5,244.14,1,1
1,3,0,4,22,6,104.14,1,0
1,4,1,10,5,6,74.37,1,0
2,3,0,4,23,8,115.43,1,0
2,2,1,10,60,10,253.88,1,0
1,4,1,6,36,9,166.65,1,0
3,3,1,2,15,8,88.78,1,0
1,3,0,5,99,2,325.38,1,0
1,3,0,7,46,10,200,1,0
2,2,0,6,94,6,327.72,1,0
2,3,1,7,44,8,190.35,1,0
2,4,0,1,32,10,141.72,1,0
2,4,0,3,36,2,131.2,1,0
2,3,1,4,52,9,209.03,1,0
1,2,1,9,13,10,107.81,1,0
3,4,0,10,78,5,291.03,1,1
3,2,0,3,82,2,269.21,1,0
1,3,0,6,9,2,56.6,0,0
3,4,1,5,4,1,40.57,0,0
2,2,0,1,14,3,60.28,0,0
3,3,1,10,99,7,363.04,1,1
2,4,0,7,6,5,63.42,0,0
1,4,0,3,14,8,85.13,1,0
1,4,1,6,52,10,218.55,1,0
3,4,1,6,2,3,44.71,0,0
3,1,0,7,30,6,137.56,1,0
3,3,1,6,4,6,60.48,0,0
3,1,1,3,55,1,185.52,1,0
3,4,0,10,68,9,275.15,1,1
3,1,1,2,20,7,98.28,1,0
2,1,1,5,15,4,80.39,1,0
3,3,0,9,32,4,144.5,1,0
3,2,1,8,67,9,266.51,1,1
1,2,1,4,29,3,115.97,1,0
3,1,0,9,44,1,167.98,1,0
3,4,0,9,20,6,116.43,1,0
2,2,1,7,62,1,218.64,1,1
3,3,0,5,95,1,311.94,1,0
3,2,1,1,45,1,150.29,1,0
2,3,0,7,100,8,357.03,1,1
2,2,1,3,43,3,156.34,1,0
3,1,1,10,79,3,286.3,1,1
1,4,0,7,55,6,213.87,1,0
2,2,0,9,96,4,335.66,1,1
2,2,1,4,13,7,83.08,1,0
3,1,1,6,92,10,338.54,1,0
2,3,1,8,67,5,252.09,1,1
1,1,1,5,79,1,261.82,1,0
1,4,1,6,88,5,309.37,1,0
3,3,1,10,7,5,78.04,1,0
3,2,1,3,81,5,279.37,1,0
1,1,0,8,80,3,278.62,1,1
3,2,1,2,14,3,66.85,0,0
1,4,0,10,69,10,279.53,1,1
2,4,1,3,84,5,289.34,1,0
3,2,1,4,69,6,249.73,1,0
2,3,1,9,42,7,186.77,1,0
2,3,1,8,57,4,218.31,1,0
1,3,0,2,9,3,48.1,0,0
1,4,1,3,11,6,71.35,1,0
1,4,0,3,87,10,312.75,1,0
1,3,0,9,15,1,80.2,1,0
1,1,1,2,95,8,326.14,1,0
3,1,1,7,43,10,193.58,1,0
2,4,1,9,48,5,198.74,1,0
3,4,0,9,50,2,192.71,1,0
1,2,0,5,7,2,46.53,0,0
1,1,1,1,6,4,40.02,0,0
3,4,0,3,59,6,216.09,1,0
3,4,1,3,70,6,251.75,1,0
1,4,0,4,77,6,271.25,1,0
2,2,1,7,57,1,203.54,1,0
1,4,1,3,35,7,147.41,1,0
3,3,0,5,29,4,123.36,1,0
1,2,1,8,79,1,271.89,1,1
1,1,0,6,8,5,62.3,0,0
2,2,1,1,42,7,161.6,1,0
1,3,1,8,99,8,358.36,1,1
2,2,0,8,9,3,66.32,0,0
2,3,0,7,98,7,347.41,1,1
1,1,0,8,58,4,215.76,1,0
2,4,0,10,70,2,255.02,1,1
2,1,0,9,31,9,156.25,1,0
2,3,1,2,81,7,283.41,1,0
2,4,1,8,88,2,305.78,1,1
2,1,1,2,67,10,249.85,1,0
1,4,1,1,40,3,142.15,1,0
1,2,1,7,29,10,150.09,1,0
3,1,1,7,76,9,289.66,1,1
3,1,1,3,92,10,329.48,1,0
2,2,0,9,99,6,351.88,1,1
2,3,0,8,37,4,155.47,1,0
1,4,0,9,100,5,352.23,1,1
2,2,1,1,23,6,100.64,1,0
2,1,0,4,41,4,153.45,1,0
2,2,1,9,100,8,364.5,1,1
2,2,1,6,67,5,245.04,1,0
3,4,0,3,51,7,195.51,1,0
1,1,1,1,55,3,184.42,1,0
2,4,0,4,67,8,249.32,1,0
2,3,1,8,93,8,341.35,1,1
1,4,1,5,64,1,219.55,1,0
2,1,1,3,49,10,198.51,1,0
2,2,0,3,21,2,83.88,1,0
1,3,1,8,5,6,67.32,0,0
1,4,1,1,7,7,56.81,0,0
1,1,0,9,78,3,275.6,1,1
2,4,0,9,31,2,134.22,1,0
2,2,1,10,29,4,138.78,1,0
2,4,0,1,58,1,188.02,1,0
1,1,1,5,60,7,225.92,1,0
2,1,1,4,32,1,117.97,1,0
3,1,0,4,21,1,83.42,1,0
1,3,0,3,15,8,87.14,1,0
1,1,1,9,97,8,353.32,1,1
1,3,0,1,97,2,307.26,1,0
2,1,0,1,87,10,304.79,1,0
1,3,0,8,1,1,34.9,0,0
1,2,1,4,26,1,99.75,1,0
3,2,0,4,45,4,167.65,1,0
1,3,1,4,83,10,305.12,1,0
1,1,0,2,64,5,219.34,1,0
3,3,1,3,28,8,131.06,1,0
3,2,0,7,67,1,232.41,1,1
3,2,1,10,56,2,214.27,1,0
3,2,1,2,84,8,296.15,1,0
1,3,1,5,84,7,300.42,1,0
1,1,0,8,19,6,105.14,1,0
1,2,1,6,40,5,162.39,1,0
2,4,1,9,87,3,309.36,1,1
3,2,0,4,33,8,145.73,1,0
1,1,1,8,9,3,66.64,0,0
2,3,0,5,31,6,135.45,1,0
2,2,1,2,55,3,189.56,1,0
1,2,1,1,79,4,261.49,1,0
2,2,1,5,15,10,102.88,1,0
2,1,0,3,52,4,183.65,1,0
1,3,0,10,37,7,171.14,1,0
3,1,1,1,67,5,230.04,1,0
1,4,0,10,17,1,90.27,1,0
2,1,0,7,54,3,198.19,1,0
1,3,1,3,17,1,70.56,1,0
2,4,0,9,35,2,146.3,1,0
1,3,1,1,9,7,61.84,0,0
3,3,0,7,88,10,329.06,1,1
1,1,1,10,21,10,133.98,1,0
3,4,1,8,57,1,209.69,1,0
3,2,1,2,95,9,332.95,1,0
1,2,0,9,7,8,80.09,1,0
2,3,1,7,79,10,303.21,1,1
1,2,0,5,100,3,330.97,1,0
2,1,0,10,1,8,65.09,0,0
1,3,1,7,3,1,40.36,0,0
1,1,0,2,19,9,97.76,1,0
3,3,0,6,74,4,262.28,1,0
3,1,1,2,18,7,92.24,1,0
2,3,1,9,2,7,65.97,0,0
1,3,1,2,77,4,259.48,1,0
3,1,0,4,73,8,265.52,1,0
1,4,1,2,27,6,116.65,1,0
3,4,0,1,84,10,299.87,1,0
2,1,0,1,15,5,69.45,0,0
2,3,1,9,23,8,132.97,1,0
2,2,0,5,27,7,125.94,1,0
2,1,1,6,63,5,231.95,1,0
2,4,1,1,37,8,152.1,1,0
3,1,1,5,35,10,163.38,1,0
3,2,0,8,4,1,45.17,0,0
2,2,1,7,40,2,155.78,1,0
1,4,1,10,87,1,304.11,1,1
3,2,1,9,95,8,350.51,1,1
2,1,1,4,52,4,189.11,1,0
1,1,1,5,58,5,212.72,1,0
1,3,0,9,75,10,293.62,1,1
1,2,0,3,40,1,136.57,1,0
1,3,0,9,24,4,118.12,1,0
2,1,0,4,90,2,294.27,1,0
1,4,1,9,93,9,347.85,1,1
3,3,1,5,29,2,118.64,1,0
1,4,1,1,90,3,293.15,1,0
1,1,1,4,3,3,36.44,0,0
2,3,1,1,65,1,210.59,1,0
3,1,0,6,24,4,109.26,1,0
3,2,0,9,32,1,132.75,1,0
1,1,0,9,34,7,157.04,1,0
1,2,1,4,70,8,257.69,1,0
2,3,0,10,66,8,263.41,1,1
1,4,1,7,95,10,351.43,1,1
1,4,0,4,58,5,210.29,1,0
1,3,0,10,72,6,273.26,1,1
3,1,1,5,30,2,119.64,1,0
1,1,1,2,95,5,315.4,1,0
2,2,0,2,24,10,118.56,1,0
2,4,0,4,60,9,231.76,1,0
1,1,0,4,92,8,320.68,1,0
2,1,1,6,28,4,122.67,1,0
3,4,1,8,53,4,208.35,1,0
2,2,0,10,81,3,289.8,1,1
3,3,0,10,28,6,142.6,1,0
1,3,1,7,86,7,312.5,1,1
3,4,1,9,48,3,192.69,1,0
3,2,0,10,57,6,229.17,1,0
3,2,0,1,1,10,47.19,0,0
3,2,1,4,31,4,127.81,1,0
2,1,1,2,44,6,166.07,1,0
2,2,1,8,88,7,321.66,1,1
3,1,0,10,20,3,105.68,1,0
3,1,0,6,75,10,284.76,1,0
1,3,1,1,76,10,274.92,1,0
2,3,1,8,60,5,230.95,1,0
3,4,0,7,34,1,134.77,1,0
2,3,1,2,94,5,315.51,1,0
3,1,0,9,23,8,129.62,1,0
1,2,1,2,49,4,173.91,1,0
3,3,0,3,37,8,155.8,1,0
1,3,1,7,9,7,79.96,1,0
2,2,1,6,75,4,265.62,1,0
3,1,1,1,32,1,110.02,1,0
3,1,1,4,29,1,110.02,1,0
2,4,1,5,29,1,114.96,1,0
2,2,0,5,14,3,72.36,1,0
2,1,1,9,97,5,343.69,1,1
3,3,1,9,40,8,185.42,1,0
1,2,1,2,57,8,212.39,1,0
2,2,0,5,53,8,208.04,1,0
1,1,0,6,96,10,345.96,1,0
3,3,0,7,73,7,273.02,1,1
3,4,0,10,2,8,72.25,1,0
2,2,1,6,92,4,316.96,1,0
1,1,0,5,52,8,202.9,1,0
2,2,0,5,96,7,334.32,1,0
3,1,0,4,84,7,295.16,1,0
2,2,0,7,23,9,127.06,1,0
2,4,1,8,17,5,102.1,1,0
3,1,1,3,4,8,56.56,0,0
3,2,0,9,17,1,87.45,1,0
1,2,1,9,98,9,360.93,1,1
1,2,1,7,70,6,259.59,1,1
1,2,0,6,7,3,53.13,0,0
1,4,0,4,46,7,181.21,1,0
1,4,1,9,16,4,97.41,1,0
1,3,1,3,1,9,50.88,0,0
2,2,0,1,90,10,314.86,1,0
3,4,1,7,95,1,321.43,1,1
3,4,0,10,60,3,229.51,1,0
2,1,1,1,4,9,52.99,0,0
1,2,1,6,78,3,269.99,1,0
3,2,0,7,2,3,43.27,0,0
3,3,0,10,75,5,280.96,1,1
2,1,1,4,3,8,55.45,0,0
3,1,0,10,29,5,140.02,1,0
2,1,0,5,78,10,289.69,1,0
2,3,0,8,70,9,273.03,1,1
1,3,0,7,94,4,323.48,1,1
1,2,0,1,43,2,143.17,1,0
2,3,0,10,55,2,208.71,1,0
1,4,1,7,5,8,72.47,1,0
3,2,0,5,95,6,328.83,1,0
3,2,0,4,14,8,88.35,1,0
1,1,1,4,92,3,305.22,1,0
2,2,1,5,72,8,267.86,1,0
1,3,1,10,46,3,186.44,1,0
3,2,0,2,34,9,146.29,1,0
2,3,0,2,93,9,324.37,1,0
2,4,1,3,49,6,187.22,1,0
3,3,1,3,45,3,164.5,1,0
3,1,0,2,44,6,164.74,1,0
3,1,1,5,6,10,75.8,1,0
2,2,0,2,81,3,265.64,1,0
3,3,0,2,75,8,267.54,1,0
1,1,1,3,66,1,216.52,1,0
1,2,0,9,100,2,339.47,1,1
1,4,0,6,38,7,163.09,1,0
2,3,0,2,99,10,346.07,1,0
3,2,0,10,35,2,148.41,1,0
3,3,0,1,65,1,209.26,1,0
2,2,0,7,85,4,296.4,1,1
3,2,1,5,42,9,181.95,1,0
1,1,0,9,39,5,164.98,1,0
3,2,0,10,31,10,164.97,1,0
1,4,1,5,43,4,166.87,1,0
2,1,1,9,49,5,198.73,1,0
2,4,0,2,17,7,88.7,1,0
1,1,0,3,64,3,215.2,1,0
2,2,1,1,38,7,149.52,1,0
2,4,1,6,63,4,231.4,1,0
2,2,1,10,55,7,228.04,1,0
2,2,1,1,68,6,236.54,1,0
2,2,1,4,38,3,144.26,1,0
2,2,1,2,80,1,257.9,1,0
2,4,0,2,80,1,257.48,1,0
3,4,1,3,11,10,87.89,1,0
2,4,1,9,83,1,290.12,1,1
2,2,0,10,64,10,263.52,1,1
3,1,0,4,5,8,60.16,0,0
2,2,0,7,38,9,172.36,1,0
2,2,0,10,11,2,74.82,1,0
3,4,1,7,18,6,106.79,1,0
3,3,1,5,55,8,218.64,1,0
1,3,0,2,63,10,236.24,1,0
2,1,0,10,93,5,332.19,1,1
2,1,0,1,65,1,206.13,1,0
3,4,0,3,79,7,280.07,1,0
2,1,0,5,58,1,197.07,1,0
1,2,1,7,7,1,51.43,0,0
3,1,0,6,46,3,172.12,1,0
1,1,1,8,28,10,149.08,1,0
1,1,0,2,38,4,137.24,1,0
2,2,1,5,18,5,94.04,1,0
3,3,1,9,66,6,256.78,1,1
3,3,1,8,13,7,97.28,1,0
1,3,1,7,86,10,323.24,1,1
1,4,1,1,28,3,105.91,1,0
1,2,0,4,68,3,231.31,1,0
3,3,1,6,18,8,109.92,1,0
2,2,0,7,13,7,89.7,1,0
3,2,0,4,47,3,170.11,1,0
2,3,0,6,61,7,232.65,1,0
3,3,1,10,9,4,80.5,1,0
3,3,0,9,52,10,226.38,1,0
2,1,1,7,49,6,196.27,1,0
2,4,1,5,18,3,88.9,1,0
1,1,1,3,32,4,124.58,1,0
3,4,1,10,83,9,322.89,1,1
3,1,1,10,51,9,223.22,1,0
3,4,1,8,58,2,216.29,1,0
1,1,1,6,81,3,278.04,1,0
2,4,1,8,63,9,255.34,1,1
2,2,1,4,36,9,159.7,1,0
1,3,0,4,67,5,236.46,1,0
3,4,1,2,31,9,141.69,1,0
2,4,1,4,29,9,140.58,1,0
2,4,0,10,52,8,222.14,1,0
3,3,1,6,93,9,340,1,0
2,4,0,1,73,4,244.06,1,0
1,2,0,10,85,6,311.51,1,1
3,1,1,7,70,1,242.9,1,1
3,4,1,1,30,6,124.91,1,0
2,3,1,5,45,9,190.91,1,0
2,4,0,10,23,8,134.56,1,0
3,4,0,1,58,5,203.45,1,0
1,2,1,1,56,6,199.19,1,0
3,3,0,3,26,4,108.26,1,0
2,4,0,3,94,3,309.94,1,0
2,3,0,6,18,8,106.37,1,0
1,3,1,9,2,4,54.12,0,0
1,3,1,5,44,7,179.62,1,0
3,1,1,8,5,3,56.78,0,0
1,3,1,5,92,1,303.1,1,0
3,4,1,1,27,5,112.27,1,0
2,2,0,9,47,10,209.16,1,0
2,4,0,1,45,4,159.5,1,0
3,3,0,1,70,5,238.68,1,0
1,2,0,7,29,5,129.75,1,0
1,1,0,7,4,7,60.4,0,0
1,2,0,4,99,3,324.93,1,0
1,4,0,4,20,8,106.27,1,0
2,3,1,5,10,4,67.31,0,0
2,1,0,1,42,9,165.31,1,0
2,3,1,7,40,1,153.21,1,0
1,3,1,7,63,6,239.46,1,1
1,4,1,2,30,8,132.87,1,0
2,1,0,7,88,4,304.45,1,1
3,4,1,4,10,9,84.31,1,0
2,3,0,8,95,10,352.11,1,1
3,4,0,4,52,4,190.81,1,0
3,1,0,4,12,2,59.82,0,0
2,3,1,6,84,8,308.13,1,0
1,2,1,6,79,3,273.01,1,0
1,1,1,5,11,1,56.46,0,0
3,2,1,1,22,6,98.73,1,0
3,3,0,6,99,2,330.62,1,0
3,2,1,2,89,10,318.41,1,0
2,2,1,10,55,8,231.62,1,0
1,1,1,1,2,3,24.36,0,0
1,1,1,5,99,5,336.54,1,0
3,4,1,6,70,7,264.39,1,0
1,4,0,2,94,5,312.97,1,0
1,4,1,6,77,5,276.15,1,0
1,3,1,5,75,9,280.4,1,0
2,2,0,5,96,1,312.84,1,0
2,2,0,3,57,1,189.02,1,0
1,2,1,10,43,3,176.37,1,0
3,2,0,5,68,10,261.61,1,0
1,3,0,7,26,8,132.44,1,0
1,2,1,1,32,6,126.71,1,0
1,3,1,10,12,1,76.6,1,0
1,1,1,1,85,10,300.08,1,0
1,4,1,8,61,8,244.61,1,1
3,3,1,1,71,2,233.4,1,0
1,1,0,4,98,7,335.22,1,0
2,4,1,1,66,9,243.26,1,0
2,3,0,8,75,4,270.23,1,1
3,2,1,8,81,2,283.73,1,1
3,4,1,4,39,9,171.89,1,0
3,2,0,3,31,2,115.19,1,0
2,1,1,3,13,8,82.63,1,0
3,2,1,8,94,5,333.73,1,1
2,4,1,10,68,3,255,1,1
3,4,0,5,40,1,146.85,1,0
1,3,0,5,1,1,25.84,0,0
1,1,0,3,43,7,166.1,1,0
2,3,1,10,61,10,257.91,1,1
3,4,1,9,67,4,253.65,1,1
1,3,1,7,19,10,120.9,1,0
1,2,1,2,46,10,186.33,1,0
1,3,0,4,6,6,55.82,0,0
3,1,0,5,96,2,316.52,1,0
3,3,0,5,38,4,150.54,1,0
2,1,1,1,96,1,302.19,1,0
2,3,1,10,9,5,82.97,1,0
1,4,0,2,92,2,296.19,1,0
3,1,1,7,1,9,63.16,0,0
2,3,1,10,12,5,92.03,1,0
1,1,1,2,55,1,180.28,1,0
2,3,0,3,47,10,192.05,1,0
3,1,1,9,39,9,183.96,1,0
3,3,1,4,17,4,86.54,1,0
2,3,1,3,35,4,136.77,1,0
2,1,0,9,20,9,123.03,1,0
3,1,1,5,83,8,301.18,1,0
1,1,0,7,13,8,91.16,1,0
2,2,0,2,46,4,163.52,1,0
2,1,1,7,29,9,146.61,1,0
3,4,1,1,86,7,297.61,1,0
2,3,1,3,46,1,159.25,1,0
3,4,0,9,23,4,118.33,1,0
1,1,0,8,40,4,161.4,1,0
2,2,0,2,94,2,301.32,1,0
